Date,x
Jan-59,315.42
Feb-59,316.31
Mar-59,316.5
Apr-59,317.56
May-59,318.13
Jun-59,318
Jul-59,316.39
Aug-59,314.65
Sep-59,313.68
Oct-59,313.18
Nov-59,314.66
Dec-59,315.43
Jan-60,316.27
Feb-60,316.81
Mar-60,317.42
Apr-60,318.87
May-60,319.87
Jun-60,319.43
Jul-60,318.01
Aug-60,315.74
Sep-60,314
Oct-60,313.68
Nov-60,314.84
Dec-60,316.03
Jan-61,316.73
Feb-61,317.54
Mar-61,318.38
Apr-61,319.31
May-61,320.42
Jun-61,319.61
Jul-61,318.42
Aug-61,316.63
Sep-61,314.83
Oct-61,315.16
Nov-61,315.94
Dec-61,316.85
Jan-62,317.78
Feb-62,318.4
Mar-62,319.53
Apr-62,320.42
May-62,320.85
Jun-62,320.45
Jul-62,319.45
Aug-62,317.25
Sep-62,316.11
Oct-62,315.27
Nov-62,316.53
Dec-62,317.53
Jan-63,318.58
Feb-63,318.92
Mar-63,319.7
Apr-63,321.22
May-63,322.08
Jun-63,321.31
Jul-63,319.58
Aug-63,317.61
Sep-63,316.05
Oct-63,315.83
Nov-63,316.91
Dec-63,318.2
Jan-64,319.41
Feb-64,320.07
Mar-64,320.74
Apr-64,321.4
May-64,322.06
Jun-64,321.73
Jul-64,320.27
Aug-64,318.54
Sep-64,316.54
Oct-64,316.71
Nov-64,317.53
Dec-64,318.55
Jan-65,319.27
Feb-65,320.28
Mar-65,320.73
Apr-65,321.97
May-65,322
Jun-65,321.71
Jul-65,321.05
Aug-65,318.71
Sep-65,317.66
Oct-65,317.14
Nov-65,318.7
Dec-65,319.25
Jan-66,320.46
Feb-66,321.43
Mar-66,322.23
Apr-66,323.54
May-66,323.91
Jun-66,323.59
Jul-66,322.24
Aug-66,320.2
Sep-66,318.48
Oct-66,317.94
Nov-66,319.63
Dec-66,320.87
Jan-67,322.17
Feb-67,322.34
Mar-67,322.88
Apr-67,324.25
May-67,324.83
Jun-67,323.93
Jul-67,322.38
Aug-67,320.76
Sep-67,319.1
Oct-67,319.24
Nov-67,320.56
Dec-67,321.8
Jan-68,322.4
Feb-68,322.99
Mar-68,323.73
Apr-68,324.86
May-68,325.4
Jun-68,325.2
Jul-68,323.98
Aug-68,321.95
Sep-68,320.18
Oct-68,320.09
Nov-68,321.16
Dec-68,322.74
Jan-69,323.83
Feb-69,324.26
Mar-69,325.47
Apr-69,326.5
May-69,327.21
Jun-69,326.54
Jul-69,325.72
Aug-69,323.5
Sep-69,322.22
Oct-69,321.62
Nov-69,322.69
Dec-69,323.95
Jan-70,324.89
Feb-70,325.82
Mar-70,326.77
Apr-70,327.97
May-70,327.91
Jun-70,327.5
Jul-70,326.18
Aug-70,324.53
Sep-70,322.93
Oct-70,322.9
Nov-70,323.85
Dec-70,324.96
Jan-71,326.01
Feb-71,326.51
Mar-71,327.01
Apr-71,327.62
May-71,328.76
Jun-71,328.4
Jul-71,327.2
Aug-71,325.27
Sep-71,323.2
Oct-71,323.4
Nov-71,324.63
Dec-71,325.85
Jan-72,326.6
Feb-72,327.47
Mar-72,327.58
Apr-72,329.56
May-72,329.9
Jun-72,328.92
Jul-72,327.88
Aug-72,326.16
Sep-72,324.68
Oct-72,325.04
Nov-72,326.34
Dec-72,327.39
Jan-73,328.37
Feb-73,329.4
Mar-73,330.14
Apr-73,331.33
May-73,332.31
Jun-73,331.9
Jul-73,330.7
Aug-73,329.15
Sep-73,327.35
Oct-73,327.02
Nov-73,327.99
Dec-73,328.48
Jan-74,329.18
Feb-74,330.55
Mar-74,331.32
Apr-74,332.48
May-74,332.92
Jun-74,332.08
Jul-74,331.01
Aug-74,329.23
Sep-74,327.27
Oct-74,327.21
Nov-74,328.29
Dec-74,329.41
Jan-75,330.23
Feb-75,331.25
Mar-75,331.87
Apr-75,333.14
May-75,333.8
Jun-75,333.43
Jul-75,331.73
Aug-75,329.9
Sep-75,328.4
Oct-75,328.17
Nov-75,329.32
Dec-75,330.59
Jan-76,331.58
Feb-76,332.39
Mar-76,333.33
Apr-76,334.41
May-76,334.71
Jun-76,334.17
Jul-76,332.89
Aug-76,330.77
Sep-76,329.14
Oct-76,328.78
Nov-76,330.14
Dec-76,331.52
Jan-77,332.75
Feb-77,333.24
Mar-77,334.53
Apr-77,335.9
May-77,336.57
Jun-77,336.1
Jul-77,334.76
Aug-77,332.59
Sep-77,331.42
Oct-77,330.98
Nov-77,332.24
Dec-77,333.68
Jan-78,334.8
Feb-78,335.22
Mar-78,336.47
Apr-78,337.59
May-78,337.84
Jun-78,337.72
Jul-78,336.37
Aug-78,334.51
Sep-78,332.6
Oct-78,332.38
Nov-78,333.75
Dec-78,334.78
Jan-79,336.05
Feb-79,336.59
Mar-79,337.79
Apr-79,338.71
May-79,339.3
Jun-79,339.12
Jul-79,337.56
Aug-79,335.92
Sep-79,333.75
Oct-79,333.7
Nov-79,335.12
Dec-79,336.56
Jan-80,337.84
Feb-80,338.19
Mar-80,339.91
Apr-80,340.6
May-80,341.29
Jun-80,341
Jul-80,339.39
Aug-80,337.43
Sep-80,335.72
Oct-80,335.84
Nov-80,336.93
Dec-80,338.04
Jan-81,339.06
Feb-81,340.3
Mar-81,341.21
Apr-81,342.33
May-81,342.74
Jun-81,342.08
Jul-81,340.32
Aug-81,338.26
Sep-81,336.52
Oct-81,336.68
Nov-81,338.19
Dec-81,339.44
Jan-82,340.57
Feb-82,341.44
Mar-82,342.53
Apr-82,343.39
May-82,343.96
Jun-82,343.18
Jul-82,341.88
Aug-82,339.65
Sep-82,337.81
Oct-82,337.69
Nov-82,339.09
Dec-82,340.32
Jan-83,341.2
Feb-83,342.35
Mar-83,342.93
Apr-83,344.77
May-83,345.58
Jun-83,345.14
Jul-83,343.81
Aug-83,342.21
Sep-83,339.69
Oct-83,339.82
Nov-83,340.98
Dec-83,342.82
Jan-84,343.52
Feb-84,344.33
Mar-84,345.11
Apr-84,346.88
May-84,347.25
Jun-84,346.62
Jul-84,345.22
Aug-84,343.11
Sep-84,340.9
Oct-84,341.18
Nov-84,342.8
Dec-84,344.04
Jan-85,344.79
Feb-85,345.82
Mar-85,347.25
Apr-85,348.17
May-85,348.74
Jun-85,348.07
Jul-85,346.38
Aug-85,344.51
Sep-85,342.92
Oct-85,342.62
Nov-85,344.06
Dec-85,345.38
